,разметка,текст,контекст,community_id,community_type
7011,,"[id243523256|Руслан], Ох ты и дура овощная🤣😅😂","[id254604982|Охотник], Нахуй иди хуесос дырявый. Мамка твоя под ишаком стояла. Беларус он блять, расист ты хуев, конченый причем. Лечи башку долбоеб.",4,toxic
7012,,Величайший актер,post,4,toxic
7013,,У кого?,post,4,toxic
7014,,,post,4,toxic
7015,,"Чушь, у него коронавирус а не рак, болезнь рак больше не существует",post,4,toxic
7016,,"Ох 2020, что ты делаешь(",post,4,toxic
7017,,Блять мне кажется или все с такой внешностью имеют рак,post,4,toxic
7018,,Лебовски держись 😫,post,4,toxic
7019,,"Теперь даже пресс качать не надо, хирурги все сделают сами...",post,4,toxic
7020,,ахуенно) а под пупком жирный манун блять... долбоёбсымба..,post,4,toxic
7021,,Блт он жир удалил,post,4,toxic
7022,,Кругом обман,post,4,toxic
7023,,"[id134502669|Оксана], уйду в туман",Кругом обман,4,toxic
7024,,"[id134502669|Оксана], ищу путан!","[id134502669|Оксана], уйду в туман",4,toxic
7025,,Лови банан,Кругом обман,4,toxic
7026,,"[id162527709|Михаил], ты еблан",Лови банан,4,toxic
7027,,"[id172480747|Сергей], деформирован твой разум. Возвращайся в свою общину и общайся с себе подобными в таком тоне.","[id162527709|Михаил], ты еблан",4,toxic
7028,,"[id162527709|Михаил], что за хуйню ты высрал удали не позорься😄","[id172480747|Сергей], деформирован твой разум. Возвращайся в свою общину и общайся с себе подобными в таком тоне.",4,toxic
7029,,Ну не все же бабам себя рисовать😆,post,4,toxic
7030,,Долбаеб.,post,4,toxic
7031,,Не проще было липосакцию сделать и пресс бы появится,post,4,toxic
7032,,А на руках рельеф чего не сделал 😂🤣,post,4,toxic
7033,,,post,4,toxic
7034,,"Пресс у пацанов легче 80 - это как большая грудь у девушек тяжелее 70
Не считается",post,4,toxic
7035,,Пусть убъются о крышку гроба!,post,4,toxic
7036,,"Скажи мне человек ,
За что и без того, короткий век,
Ты мой ,невыносмим сделать хочешь !!!!
Зачто страдания и беды мне пророчишь ???
Сплю на земле и в дождь и снег, 
Страдаю от побоев и болезней ,
За что так не навидишь Человек ?
Я ведь века был предан и полезен!!!
В охоте , на войне,  и в час невзгод ,
Я был с тобой и не просил награды.
За что так не навидишь Человек? 
Стал от чего жестоким беспощадным??",post,4,toxic
7037,,,post,4,toxic
7038,,"F.. хотелось бы , чтобы их арматурой выебали",post,4,toxic
7039,,,post,4,toxic
7040,,Приморцы убили живодёров?,post,4,toxic
7041,,и съели,post,4,toxic
7042,,Пидорасы,post,4,toxic
7043,,"на каждую рыбу, найдется рыба покрупнее, надеюсь живодёров посадят в подвал на цепи.",post,4,toxic
7044,,"Пиздеж блять , вам че постить больше нехуй",post,4,toxic
7045,,"[id9523379|Даня], ага.. собак же сейчас не убивают","Пиздеж блять , вам че постить больше нехуй",4,toxic
7046,,,Дураки,4,toxic
7047,,"[id22805241|Вячеслав], ну согласись , про какие то там призрачные скрепы трындят, пропагандоны, путя и его движ, и люди которые топят дровами и ходят в трусах с дырками , за то блядь свечечку побегут поставят . В рваных трусах ... свечечку... 🤦🏻‍♂️",,4,toxic
7048,,"[id331111810|Лев], с чего вы решили что ваше дело правое, почему вы думаете, что вы большинство?","[id543854952|Анна], конечно же! Люди, борющиеся за свои права - дураки, в глазах Лукашенко и прочей сволочи",4,toxic
7049,,"[id331111810|Лев], молодцы в чем? В том,что разрушают и так  слабую экономику Белоруссии???","[id543854952|Анна], конечно же! Люди, борющиеся за свои права - дураки, в глазах Лукашенко и прочей сволочи",4,toxic
7050,,"[id3410910|Кирилл], лукбот или кремлебот","[id543854952|Анна], Бастующих уволить и судить по какой- нибудь статье за сепаратизм и что- то связанное с уничтожением экономики государства.

На их место взять других работников, уверен, есть желающие. В России можно взять работников к себе.

Шлюxaнoвская обмоталась польско- немецкой бело- красно- белой ccaной тряпкой и просто убивает Беларусь, а тупые дети шлюx и пидapacoв поддерживают ее",4,toxic
7051,,"[id444072277|Артем], Беларусь и так живёт в долг. Мы России уже 18 млрд. должны. Все по вине одного единственного человека","[id99525960|Антон], получается сроки поставок будут нарушены , миллионные неустойки , люди не получат зп . Это мадмуазель думает о народе ? Или хочет в нищету загнать народ . Блогеры не смогут наполнять буджет. Перспектива жить взаймы нравится ?",4,toxic
7052,,"[id114457456|Антон],","[id22805241|Вячеслав], ну согласись , про какие то там призрачные скрепы трындят, пропагандоны, путя и его движ, и люди которые топят дровами и ходят в трусах с дырками , за то блядь свечечку побегут поставят . В рваных трусах ... свечечку... 🤦🏻‍♂️",4,toxic
7053,,"[id22805241|Вячеслав], именно","[id114457456|Антон],",4,toxic
7054,,"[id331111810|Лев], за какие права борются белорусы? Что вообще плохого Лукашенко сделал Белоруссии?","[id543854952|Анна], конечно же! Люди, борющиеся за свои права - дураки, в глазах Лукашенко и прочей сволочи",4,toxic
7055,,"[id344826496|Радиф], чёта не видно, чтобы уркаине сильно кто-то помогал))) этих также поимеют наобещав, а там - орите, выступайте, ми вас в упог не видим)😎😎😎","Они получат свободу,и да,темболее если они после этого вступят в ЕС,ЕС им будет помогать.Про это не стоит забывать.Все-таки Беларусы выбрали свободу,и не нам оспаривать их выбор.Это адекватный выбор,или ты предлагаешь жить в постоянной диктатуре,и в скором времени экономика так и так бы рухнула.И еще я уверен что они быстро поправят экономику,они радикально ее восстяновят.Потому-что придут новые люди,которые умнее,более в теме будут.",4,toxic
7056,,"Мб потому-что Украина не в ЕС пока-что,из-за того что на ее территории боевые действия?До этого твоя башка не может догадаться?","[id344826496|Радиф], чёта не видно, чтобы уркаине сильно кто-то помогал))) этих также поимеют наобещав, а там - орите, выступайте, ми вас в упог не видим)😎😎😎",4,toxic
7057,,"это твоя башка верит лукавым обещаниям, глупый Буратинка, а пора бы мозги подключать научиться. Никому там в забугорье Беларусь нахрен не сдалась, им просто ближе к России с военными базами подобраться, и уже прикончить нас навсегда охота. Может, и тебе, если живёшь не в Руссиянии.","Мб потому-что Украина не в ЕС пока-что,из-за того что на ее территории боевые действия?До этого твоя башка не может догадаться?",4,toxic
7058,,"[id444072277|Артем], всего лишь надо признать выбор людей и того, что вы написали не было бы",Дураки,4,toxic
7059,,"Опять ты про войнушки.Какой же ты тупой.Ну давай,объясни зачем США нужна Россия?Если они уже давно не воюют с Россией.Ты идиот,считаешь нас всех за тупых?Еблан,тебе говорят про свободу,про улучшение экономики.Я не хочу чтобы Путин правил вечно,никакой войны не будет и быть не может,будет только в случае если Путин останется,он под старость лет прикажет своим воякам напасть,он нападет,а США лишь в ответку может идти,но пропагандоны выставят это как ''Россия защищается''.Еблоид ты конченый,из-за таких как ты и гниет Россия,поддерживай режим дальше,оппозиция не сдастся просто так,таких как ты никто слушать не будет.Оппозиция желает лучшего России,но вы даунята все портите как всегда,ну и живи дальше в своем ебаном придуманным мирке.","это твоя башка верит лукавым обещаниям, глупый Буратинка, а пора бы мозги подключать научиться. Никому там в забугорье Беларусь нахрен не сдалась, им просто ближе к России с военными базами подобраться, и уже прикончить нас навсегда охота. Может, и тебе, если живёшь не в Руссиянии.",4,toxic
7060,,"Блять,совкомыслитель,опять НАТО враг,мб пластинку нужно менять?Сознание меняй свое,идиот.Ты низок,твой интеллект ниже интеллекта дерьма,т.е у тебя отсутствует интеллект.","это твоя башка верит лукавым обещаниям, глупый Буратинка, а пора бы мозги подключать научиться. Никому там в забугорье Беларусь нахрен не сдалась, им просто ближе к России с военными базами подобраться, и уже прикончить нас навсегда охота. Может, и тебе, если живёшь не в Руссиянии.",4,toxic
7061,,"[id3410910|Кирилл], не знаю какой курс сейчас, но думаю меня поймут. 
Пополнение счёта +15₽","[id543854952|Анна], Бастующих уволить и судить по какой- нибудь статье за сепаратизм и что- то связанное с уничтожением экономики государства.

На их место взять других работников, уверен, есть желающие. В России можно взять работников к себе.

Шлюxaнoвская обмоталась польско- немецкой бело- красно- белой ccaной тряпкой и просто убивает Беларусь, а тупые дети шлюx и пидapacoв поддерживают ее",4,toxic
7062,,"Ну вот выйди на митинг за Путина,выйди сука.Что-ж оппозиция значит права,раз люди не только в Хабаровске стали выходить,иди протестующим в разных городах России скажи,что НАТО их хочет завоевать,что-ж ты мне это говоришь?","это твоя башка верит лукавым обещаниям, глупый Буратинка, а пора бы мозги подключать научиться. Никому там в забугорье Беларусь нахрен не сдалась, им просто ближе к России с военными базами подобраться, и уже прикончить нас навсегда охота. Может, и тебе, если живёшь не в Руссиянии.",4,toxic
7063,,"[id358389914|Шамиль], нам не интересен твой заработок","[id3410910|Кирилл], не знаю какой курс сейчас, но думаю меня поймут. 
Пополнение счёта +15₽",4,toxic
7064,,"Что-то они протестующим в лицо это не могут сказать,да?Ну ты сука выйди к протестующим в Беларуси,выскажи свое мнение.Они не правы,и как крысы действуют,что ватники что боты","[id3410910|Кирилл], не знаю какой курс сейчас, но думаю меня поймут. 
Пополнение счёта +15₽",4,toxic
7065,,"[id358389914|Шамиль],","[id3410910|Кирилл], не знаю какой курс сейчас, но думаю меня поймут. 
Пополнение счёта +15₽",4,toxic
7066,,"[id543854952|Анна], иди становись за станок.",Дураки,4,toxic
7067,,"[id344826496|Радиф], сильно Украине ЕС помогло?!","Они получат свободу,и да,темболее если они после этого вступят в ЕС,ЕС им будет помогать.Про это не стоит забывать.Все-таки Беларусы выбрали свободу,и не нам оспаривать их выбор.Это адекватный выбор,или ты предлагаешь жить в постоянной диктатуре,и в скором времени экономика так и так бы рухнула.И еще я уверен что они быстро поправят экономику,они радикально ее восстяновят.Потому-что придут новые люди,которые умнее,более в теме будут.",4,toxic
7068,,Это их работа даун,"[id543854952|Анна], согласен, эти омоновцы те ещё дураки",4,toxic
7069,,"[id3438997|Павел], взрослеет парень.","[id331111810|Лев], я вас не понимаю. Месяц назад вы казались жутким ватником, топящим за режим. А теперь прямо готов руку жать. Правильные вещи пишите.",4,toxic
7070,,"[id331111810|Лев], людям мозги как на украине засрали","[id543854952|Анна], конечно же! Люди, борющиеся за свои права - дураки, в глазах Лукашенко и прочей сволочи",4,toxic
7071,,"[id395590066|Юлиана], были!!! ПОНЯТНО???!!!","[id331111810|Лев], у них не было 90-х",4,toxic
7072,,"[id8412468|Алексей], в 🎯!!!","Круто, кремлеботы друг с другом беседуют, а люди здесь пишут иногда, по 1 ТВ задолбали теперь здесь в уши срут Твари",4,toxic
7073,,"[id12707985|Ольга], расскажи","[id395590066|Юлиана], были!!! ПОНЯТНО???!!!",4,toxic
7074,,Юлиана не расскажу!😛😝😜,"[id12707985|Ольга], расскажи",4,toxic
7075,,"[id12707985|Ольга], а что так? Хоть в каком году сие действо было, озвучьте )",Юлиана не расскажу!😛😝😜,4,toxic
7076,,"[id395590066|Юлиана], мне 41 год идёт, на минуточку! Ура, вЫ перестали тыкккать😉","[id12707985|Ольга], а что так? Хоть в каком году сие действо было, озвучьте )",4,toxic
7077,,"Ольга , мадам, написАли бы сразу свою претензию. Я за демократичный и короткий подход друг к другу)","[id395590066|Юлиана], мне 41 год идёт, на минуточку! Ура, вЫ перестали тыкккать😉",4,toxic
7078,,"[id65719940|Александр], если бы ипотечной) скорее на мамкиной кухне ))","Сколько политиков и экономистов в комментариях. Все прям знают, что нужно и как нужно сделать в Белоруссии. Особенно писать об этом в комментах, сидя на кухне в ипотечной квартире.",4,toxic
7079,,"[id395590066|Юлиана], ой, это уже злость/расстройства и ненависть 😔затмевают разум и глаза 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️я не так прочитала, видимо...я увидела, что вы адресовали предложение про 90-е🙋🏼‍♀️ другому🥴","Ольга , мадам, написАли бы сразу свою претензию. Я за демократичный и короткий подход друг к другу)",4,toxic
7080,,"[id12707985|Ольга], короче, ошиблась. Прочитала, что вы учите девяностыми тех, кто против узурпатора-🐀. Извините.","[id395590066|Юлиана], ой, это уже злость/расстройства и ненависть 😔затмевают разум и глаза 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️я не так прочитала, видимо...я увидела, что вы адресовали предложение про 90-е🙋🏼‍♀️ другому🥴",4,toxic
7081,,"[id3410910|Кирилл], ну давай, найди хоть 1000 новых работников на Атлант. При том, что нынешние, хотели бы уйти хоть куда-нибудь, если было бы куда. На любом другом заводе - те же яйца, и такой же маразм. И всё это - повсеместно, по всей стране.","[id543854952|Анна], Бастующих уволить и судить по какой- нибудь статье за сепаратизм и что- то связанное с уничтожением экономики государства.

На их место взять других работников, уверен, есть желающие. В России можно взять работников к себе.

Шлюxaнoвская обмоталась польско- немецкой бело- красно- белой ccaной тряпкой и просто убивает Беларусь, а тупые дети шлюx и пидapacoв поддерживают ее",4,toxic
7082,,"[id41108437|Максим], зачем мне искать больше людей, чем кол- во бастующих","[id3410910|Кирилл], ну давай, найди хоть 1000 новых работников на Атлант. При том, что нынешние, хотели бы уйти хоть куда-нибудь, если было бы куда. На любом другом заводе - те же яйца, и такой же маразм. И всё это - повсеместно, по всей стране.",4,toxic
7083,,"[id444072277|Артем], так выглядит любой переворот","[id99525960|Антон], получается сроки поставок будут нарушены , миллионные неустойки , люди не получат зп . Это мадмуазель думает о народе ? Или хочет в нищету загнать народ . Блогеры не смогут наполнять буджет. Перспектива жить взаймы нравится ?",4,toxic
7084,,"[id444072277|Артем], кто меняет свободу на деньги, остаётся без свободы и без денег.","[id99525960|Антон], получается сроки поставок будут нарушены , миллионные неустойки , люди не получат зп . Это мадмуазель думает о народе ? Или хочет в нищету загнать народ . Блогеры не смогут наполнять буджет. Перспектива жить взаймы нравится ?",4,toxic
7085,,"Да-да, мы это уже проходили: когда ЕБН с вечно пьяной харей выводил войска отовсюду, куда потом тут же залезали пиндосы. Ты кому угодно втюхивай про то, что у нас нет врагов, но никто тебе уже не поверит: ракеты зачем-то стоят прямо у нас под боком. Про то, что оппозиция желает лучшего России - засунь себе, ж@поголовый, между полушариями своего мозга, на котором сидишь - помним оппозицию в виде мишки 2%, гайдарки и чубайски, наелись этого говн@ вдосталь. А теперь надо пустить тех, кто ещё не успел погреть алчные ручонки? А давайте дадим им порулить, ага))) Выкуси! И если люди не хотят во власть поганое ворьё вроде касьянова и навального, всяких и сучек с лошадиными мордами, то это не означает, что они путиноиды. Я лично за это существо ни разу не голосовал, и не проголосую. Но и твоих уродов не пущу!","Опять ты про войнушки.Какой же ты тупой.Ну давай,объясни зачем США нужна Россия?Если они уже давно не воюют с Россией.Ты идиот,считаешь нас всех за тупых?Еблан,тебе говорят про свободу,про улучшение экономики.Я не хочу чтобы Путин правил вечно,никакой войны не будет и быть не может,будет только в случае если Путин останется,он под старость лет прикажет своим воякам напасть,он нападет,а США лишь в ответку может идти,но пропагандоны выставят это как ''Россия защищается''.Еблоид ты конченый,из-за таких как ты и гниет Россия,поддерживай режим дальше,оппозиция не сдастся просто так,таких как ты никто слушать не будет.Оппозиция желает лучшего России,но вы даунята все портите как всегда,ну и живи дальше в своем ебаном придуманным мирке.",4,toxic
7086,,Иди нахуй урод. Тебя вообще никто не спрашивал,Дураки,4,toxic
7087,,"[id395590066|Юлиана], да конечно не было! ни у кого не было, только в России! Какие там банды в Америке?! Тьфу. Латиносы, Итальянцы да ладно. Да вообще приступрости нигде не было. Только в РФ была...","[id331111810|Лев], у них не было 90-х",4,toxic
7088,,,"Они получат свободу,и да,темболее если они после этого вступят в ЕС,ЕС им будет помогать.Про это не стоит забывать.Все-таки Беларусы выбрали свободу,и не нам оспаривать их выбор.Это адекватный выбор,или ты предлагаешь жить в постоянной диктатуре,и в скором времени экономика так и так бы рухнула.И еще я уверен что они быстро поправят экономику,они радикально ее восстяновят.Потому-что придут новые люди,которые умнее,более в теме будут.",4,toxic
7089,,"Лешка, не путайте теплое с мягким. У нас была одна страна и часть ее обошла стороной приватизацию гос предприятий. Теперь хотят добить. Про банды в омериках - это дымовая завеса к данному посту.","[id395590066|Юлиана], да конечно не было! ни у кого не было, только в России! Какие там банды в Америке?! Тьфу. Латиносы, Итальянцы да ладно. Да вообще приступрости нигде не было. Только в РФ была...",4,toxic
7090,,"Брехня, тока шо проверил, призывают к забастовкам на гос предприятиям, надо ж экономику убить",post,4,toxic
7091,,"[id346952373|Андрей], то что мертво, умереть не может.","Брехня, тока шо проверил, призывают к забастовкам на гос предприятиям, надо ж экономику убить",4,toxic
7092,,"[id346952373|Андрей], бедный, наверно запыхался все проверять то?","Брехня, тока шо проверил, призывают к забастовкам на гос предприятиям, надо ж экономику убить",4,toxic
7093,,"[id10183073|Влад], если в посте пруфов нет то логично что некоторые кто думать может будут проверять","[id346952373|Андрей], бедный, наверно запыхался все проверять то?",4,toxic
7094,,"[id437572599|Дмитрий], сложно понять что твоя писать","[id10183073|Влад], если в посте пруфов нет то логично что некоторые кто думать может будут проверять",4,toxic
7095,,"[id10183073|Влад], ой не знал что ты читать не умеешь ну так вот запоминай если твоя мозг дум дум то ты хотеть проверить правда или нет в посте без доказательств","[id437572599|Дмитрий], сложно понять что твоя писать",4,toxic
7096,,"[id437572599|Дмитрий], твой мозг думать, что если кто то писать и не прикладывать доказательства то это ложь, на самом деле пруфы можно найти самому а не сидеть и какать словами, сложно на твоём языке писать, но приходится","[id10183073|Влад], ой не знал что ты читать не умеешь ну так вот запоминай если твоя мозг дум дум то ты хотеть проверить правда или нет в посте без доказательств",4,toxic
7097,,"[id10183073|Влад], пост без пруфов не всегда ложный, но если в посте нет пруфов логично что человек захочет проверить так или нет, а уже как он пруфы ищет это его проблемы","[id437572599|Дмитрий], твой мозг думать, что если кто то писать и не прикладывать доказательства то это ложь, на самом деле пруфы можно найти самому а не сидеть и какать словами, сложно на твоём языке писать, но приходится",4,toxic
7098,,"[id10183073|Влад], и если тебе на русском тяжело писать то это твои проблемы","[id437572599|Дмитрий], твой мозг думать, что если кто то писать и не прикладывать доказательства то это ложь, на самом деле пруфы можно найти самому а не сидеть и какать словами, сложно на твоём языке писать, но приходится",4,toxic
7099,,"[id437572599|Дмитрий], если чел умственно отсталый и ему писать удобно так, ну приходится подстроиться, а насчёт пруфов и розыск их, то иди на первый канал, там пояснят кто такие эти ваши ходоки, чистая истина","Брехня, тока шо проверил, призывают к забастовкам на гос предприятиям, надо ж экономику убить",4,toxic
7100,,"[id346952373|Андрей], экономика уже убита задолго до этих событий..дно пробито много лет назад)))","Брехня, тока шо проверил, призывают к забастовкам на гос предприятиям, надо ж экономику убить",4,toxic
7101,,"[id10183073|Влад], а теперь я понял где ты пруфы ищешь ну мне до тебя далеко я обычно несколько разных  точек зрений изучаю а потом уже сам решаю что правильно","[id437572599|Дмитрий], если чел умственно отсталый и ему писать удобно так, ну приходится подстроиться, а насчёт пруфов и розыск их, то иди на первый канал, там пояснят кто такие эти ваши ходоки, чистая истина",4,toxic
7102,,"[id437572599|Дмитрий], так что правильно? Агрофюреру нервничать или дальше картоху раздавать?","[id10183073|Влад], а теперь я понял где ты пруфы ищешь ну мне до тебя далеко я обычно несколько разных  точек зрений изучаю а потом уже сам решаю что правильно",4,toxic
7103,,"[id10183073|Влад], я считаю что Лукашенко уже долго президентом был что не совсем хорошо потому что все органы власти подстраиваются под одного человека и потом когда он уйдет пиздец будет будет гонка кто быстрее президентом станет что плохо отразится на людях да и вряд-ли Лукашенко что то новое принесёт, а это бабенция тоже хуйня так как ее пред выборная компания мутная и она сбежала когда Лукашенко ""победил"" хотя возможно и победил но явно голосов за него меньше было. Да и возможно когда она к власти прийдёт будет так же как на Украине или хуже даже","[id437572599|Дмитрий], так что правильно? Агрофюреру нервничать или дальше картоху раздавать?",4,toxic
7104,,"[id437572599|Дмитрий], так то Тихоновская технический кандидат с одной целью-назначить честные выборы и освободить полит заключённых","[id10183073|Влад], я считаю что Лукашенко уже долго президентом был что не совсем хорошо потому что все органы власти подстраиваются под одного человека и потом когда он уйдет пиздец будет будет гонка кто быстрее президентом станет что плохо отразится на людях да и вряд-ли Лукашенко что то новое принесёт, а это бабенция тоже хуйня так как ее пред выборная компания мутная и она сбежала когда Лукашенко ""победил"" хотя возможно и победил но явно голосов за него меньше было. Да и возможно когда она к власти прийдёт будет так же как на Украине или хуже даже",4,toxic
7105,,"[id10183073|Влад], и все ты её пред выборную копанию читал хотя бы, да и любые выборы хуйня победит тот у кого связей больше и скажи про каких полит заключённых речь идёт","[id437572599|Дмитрий], так то Тихоновская технический кандидат с одной целью-назначить честные выборы и освободить полит заключённых",4,toxic
7106,,"[id437572599|Дмитрий], и что же там написано, просвети??? В конспирологию играть иди на Рен ТВ","[id10183073|Влад], и все ты её пред выборную копанию читал хотя бы, да и любые выборы хуйня победит тот у кого связей больше и скажи про каких полит заключённых речь идёт",4,toxic
7107,,"[id10183073|Влад], серьезно ты сам посотреть не можешь","[id437572599|Дмитрий], и что же там написано, просвети??? В конспирологию играть иди на Рен ТВ",4,toxic
7108,,"[id437572599|Дмитрий], я посмотрел и все сказал, чего там тебе ещё привидилось, это не мои проблемы","[id10183073|Влад], серьезно ты сам посотреть не можешь",4,toxic
7109,,"[id10183073|Влад], аналогично","[id437572599|Дмитрий], я посмотрел и все сказал, чего там тебе ещё привидилось, это не мои проблемы",4,toxic
7110,,А зарплату им будет платить тупая страшилка из Литвы? )),post,4,toxic
7111,,"[id172258851|Олег], мамка твоя платить будет",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7112,,Я пошутил,А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7113,,"[id250558051|Arseny], с уважением,  конечно же.",Я пошутил,4,toxic
7114,,"[id1964728|Николай], жаль боты все засорили","[id250558051|Arseny], с уважением,  конечно же.",4,toxic
7115,,"Ольга, ты ебать умная красавица",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7116,,"[id250558051|Arseny], она на том свете уже","[id172258851|Олег], мамка твоя платить будет",4,toxic
7117,,ахахха хорош,"[id172258851|Олег], мамка твоя платить будет",4,toxic
7118,,"[id172258851|Олег], за ней запад,
Деньг хватит",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7119,,"[id98129456|Наталья], ты идиотка?",ненайден,4,toxic
7120,,"[id172258851|Олег], пригожинский всратый говноед, шутить изволит?",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7121,,"[id172258851|Олег], na tai seni pizda",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7122,,"[id172258851|Олег], повыебываются,еда закончится и пойдут работать",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7123,,"ты говоришь это боту, который ложную статистику про Россию приводит, причем постоянно на всех пабликах","[id172258851|Олег], повыебываются,еда закончится и пойдут работать",4,toxic
7124,,"[id209456|Сергей], один фиг, смысл тот же,дура смылась к нам в Литву,вот и живёт курва","ты говоришь это боту, который ложную статистику про Россию приводит, причем постоянно на всех пабликах",4,toxic
7125,,"возможно, но этого не отменяет что лукашет натравил омон на граждан
ты бы тоже смылся если бы не захотел в тюрьму где возможно тебя пытали бы","[id209456|Сергей], один фиг, смысл тот же,дура смылась к нам в Литву,вот и живёт курва",4,toxic
7126,,"у нас тоже курва янукович живёт, и ничего","[id209456|Сергей], один фиг, смысл тот же,дура смылась к нам в Литву,вот и живёт курва",4,toxic
7127,,"[id209456|Сергей], дело не в этом,все эти высокопоставленные люди,одна большая ОПГ","возможно, но этого не отменяет что лукашет натравил омон на граждан
ты бы тоже смылся если бы не захотел в тюрьму где возможно тебя пытали бы",4,toxic
7128,,иногда надо менять своё опг если оно начинает плохо работать🙂,"[id209456|Сергей], дело не в этом,все эти высокопоставленные люди,одна большая ОПГ",4,toxic
7129,,"[id172258851|Олег], вы, утырки, и будите платить. Зачешем вам очередную шнягу про братьев и окопы. А на самом деле вас все ненавидят. И с радостью от вас забором отгородились бы. Но вас еще подоить можно",А зарплату им будет платить тупая страшилка из Литвы? )),4,toxic
7130,,"Шнягу ты будешь польскому пану чесать в его свинарнике.
Или русскому прорабу на стройках России.

На большее тебе, ущербного змагара, никто никуда и не допустит ))

А дешёвая рабсила нужна везде. Так что, продолжай отсасывать у батьки ))","[id172258851|Олег], вы, утырки, и будите платить. Зачешем вам очередную шнягу про братьев и окопы. А на самом деле вас все ненавидят. И с радостью от вас забором отгородились бы. Но вас еще подоить можно",4,toxic
7131,,"[id209456|Сергей], но как поменять власть,если народ полномочий не имеет,а голосование,да все это фикция",иногда надо менять своё опг если оно начинает плохо работать🙂,4,toxic
7132,,"[id11048761|Борис], что ты на..уй несёшь, какой запад за ней, и каких денег ей хватит?🤦‍♂️","[id172258851|Олег], за ней запад,
Деньг хватит",4,toxic
7133,,"никто не бастует нифига,все работают",post,4,toxic
7134,,"[id596728227|Эльвира], судя по сотням видео в телеграме - бастуют целая куча предприятий.","никто не бастует нифига,все работают",4,toxic
7135,,"[id23060766|Виталий], ну это хорошо если так, ТАСС вот только передал , что все предприятия работают в штатном режиме","[id596728227|Эльвира], судя по сотням видео в телеграме - бастуют целая куча предприятий.",4,toxic
7136,,"[id596728227|Эльвира], а вциом передал, что 146% поддерживают путина) больше слушайте официальные сми) Все госсми пропитаны заразой идиотизма, особенно сильно идиотизм передается через ""соловьиный помет"")","[id23060766|Виталий], ну это хорошо если так, ТАСС вот только передал , что все предприятия работают в штатном режиме",4,toxic
